id|origin_language
1224|['American']
1225|['American']
1226|['American']
1227|['American']
1228|['American']
1229|['American']
1230|['American']
1231|['American']
1232|['American']
1233|['American']
1234|['American']
1235|['American']
1236|['American']
1237|['American']
1238|['American']
1239|['American']
1240|['American']
1241|['American']
1242|['American']
1243|['American']
1244|['American']
1245|['American']
1246|['American']
1247|['American']
1248|['American']
1249|['American']
1250|['American']
1251|['American']
1252|['American']
1253|['American']
1254|['American']
1255|['American']
1256|['American']
1257|['American']
1258|['American']
1259|['American']
1260|['American']
1261|['American']
1262|['American']
1263|['American']
1264|['American']
1265|['American']
1266|['American']
1267|['American']
1268|['American']
1269|['American']
1270|['American']
1271|['American']
1272|['American']
1273|['American']
1274|['American']
1275|['American']
1276|['American']
1277|['American']
1278|['American']
1279|['American']
1280|['American']
1281|['American']
1282|['American']
1283|['American']
1284|['American']
1285|['American']
1286|['American']
1287|['American']
1288|['American']
1289|['American']
1290|['American']
1291|['American']
1292|['American']
1293|['American']
1294|['American']
1295|['American']
1296|['American']
1297|['American']
1298|['American']
1299|['American']
1300|['American']
1301|['American']
1302|['American']
1303|['American']
1304|['American']
1305|['American']
1306|['American']
1307|['American']
1308|['American']
1309|['American']
1310|['American']
1311|['American']
1312|['American']
1313|['American']
1314|['American']
1315|['American']
1316|['American']
1317|['American']
1318|['American']
1319|['American']
1320|['American']
1321|['American']
1322|['American']
1323|['American']
1324|['American']
1325|['American']
1326|['American']
1327|['American']
1328|['American']
1329|['American']
1330|['American']
1331|['American']
1332|['American']
1333|['American']
1334|['American']
1335|['American']
1336|['American']
1337|['American']
1338|['American']
1339|['American']
1340|['American']
1341|['American']
1342|['American']
1343|['American']
1344|['American']
1345|['American']
1346|['American']
1347|['American']
1348|['American']
1349|['American']
1350|['American']
1351|['American']
1352|['American']
1353|['American']
1354|['American']
1355|['American']
1356|['American']
1357|['American']
1358|['American']
1359|['American']
1360|['American']
1361|['American']
1362|['American']
1363|['American']
1364|['American']
1365|['American']
1366|['American']
1367|['American']
1368|['American']
1369|['American']
1370|['American']
1371|['American']
1372|['American']
1373|['American']
1374|['American']
1375|['American']
1376|['American']
1377|['American']
1378|['American']
1379|['American']
1380|['American']
1381|['American']
1382|['American']
1383|['American']
1384|['American']
1385|['American']
1386|['American']
1387|['American']
1388|['American']
1389|['American']
1390|['American']
1391|['American']
1392|['American']
1393|['American']
1394|['American']
1395|['American']
1396|['American']
1397|['American']
1398|['American']
1399|['American']
1400|['American']
1401|['American']
1402|['American']
1403|['American']
1404|['American']
1405|['American']
1406|['American']
1407|['American']
1408|['American']
1409|['American']
1410|['American']
1411|['American']
1412|['American']
1413|['American']
1414|['American']
1415|['American']
1416|['American']
1417|['American']
1418|['American']
1419|['American']
1420|['American']
1421|['American']
1422|['American']
1423|['American']
1424|['American']
1425|['American']
1426|['American']
1427|['American']
1428|['American']
1429|['American']
1430|['American']
1431|['American']
1432|['American']
1433|['American']
1434|['American']
1435|['American']
1436|['American']
1437|['American']
1438|['American']
1439|['American']
1440|['American']
1441|['American']
1442|['American']
1443|['American']
1444|['American']
1445|['American']
1446|['American']
1447|['American']
1448|['American']
1449|['American']
1450|['American']
1451|['American']
1452|['American']
1453|['American']
1454|['American']
1455|['American']
1456|['American']
1457|['American']
1458|['American']
1459|['American']
1460|['American']
1461|['American']
1462|['American']
1463|['American']
1464|['American']
1465|['American']
1466|['American']
1467|['American']
1468|['American']
1469|['American']
1470|['American']
1471|['American']
1472|['American']
1473|['American']
1474|['American']
1475|['American']
1476|['American']
1477|['American']
1478|['American']
1479|['American']
1480|['American']
1481|['American']
1482|['American']
1483|['American']
1484|['American']
1485|['American']
1486|['American']
1487|['American']
1488|['American']
1489|['American']
1490|['American']
1491|['American']
1492|['American']
1493|['American']
1494|['American']
1495|['American']
1496|['American']
1497|['American']
1498|['American']
1499|['American']
1500|['American']
1501|['American']
1502|['American']
1503|['American']
1504|['American']
1505|['American']
1506|['American']
1507|['American']
1508|['American']
1509|['American']
1510|['American']
1511|['American']
1512|['American']
1513|['American']
1514|['American']
1515|['American']
1516|['American']
1517|['American']
1518|['American']
1519|['American']
1520|['American']
1521|['American']
1522|['American']
1523|['American']
1524|['American']
1525|['American']
1526|['American']
1527|['American']
1528|['American']
1529|['American']
1530|['American']
1531|['American']
1532|['American']
1533|['American']
1534|['American']
1535|['American']
1536|['American']
1537|['American']
1538|['American']
1539|['American']
1540|['American']
1541|['American']
1542|['American']
1543|['American']
1544|['American']
1545|['American']
1546|['American']
1547|['American']
1548|['American']
1549|['American']
1550|['American']
1551|['American']
1552|['American']
1553|['American']
1554|['American']
1555|['American']
1556|['American']
1557|['American']
1558|['American']
1559|['American']
1560|['American']
1561|['American']
1562|['American']
1563|['American']
1564|['American']
1565|['American']
1566|['American']
1567|['American']
1568|['American']
1569|['American']
1570|['American']
1571|['American']
1572|['American']
1573|['American']
1574|['American']
1575|['American']
1576|['American']
1577|['American']
1578|['American']
1579|['American']
1580|['American']
1581|['American']
1582|['American']
1583|['American']
1584|['American']
1585|['American']
1586|['American']
1587|['American']
1588|['American']
1589|['American']
1590|['American']
1591|['American']
1592|['American']
1593|['American']
1594|['American']
1595|['American']
1596|['American']
1597|['American']
1598|['American']
1599|['American']
1600|['American']
1601|['American']
1602|['American']
1603|['American']
1604|['American']
1605|['American']
1606|['American']
1607|['American']
1608|['American']
1609|['American']
1610|['American']
1611|['American']
1612|['American']
1613|['American']
1614|['American']
1615|['American']
1616|['American']
1617|['American']
1618|['American']
1619|['American']
1620|['American']
1621|['American']
1622|['American']
1623|['American']
1624|['American']
1625|['American']
1626|['American']
1627|['American']
1628|['American']
1629|['American']
1630|['American']
1631|['American']
1632|['American']
1633|['American']
1634|['American']
1635|['American']
1636|['American']
1637|['American']
1638|['American']
1639|['American']
1640|['American']
1641|['American']
1642|['American']
1643|['American']
1644|['American']
1645|['American']
1646|['American']
1647|['American']
1648|['American']
1649|['American']
1650|['American']
1651|['American']
1652|['American']
1653|['American']
1654|['American']
1655|['American']
1656|['American']
1657|['American']
1658|['American']
1659|['American']
1660|['American']
1661|['American']
1662|['American']
1663|['American']
1664|['American']
1665|['American']
1666|['American']
1667|['American']
1668|['American']
1669|['American']
1670|['American']
1671|['American']
1672|['American']
1673|['American']
1674|['American']
1675|['American']
1676|['American']
1677|['American']
1678|['American']
1679|['American']
1680|['American']
1681|['American']
1682|['American']
1683|['American']
1684|['American']
1685|['American']
1686|['American']
1687|['American']
1688|['American']
1689|['American']
1690|['American']
1691|['American']
1692|['American']
1693|['American']
1694|['American']
1695|['American']
1696|['American']
1697|['American']
1698|['American']
1699|['American']
1700|['American']
1701|['American']
1702|['American']
1703|['American']
1704|['American']
1705|['American']
1706|['American']
1707|['American']
1708|['American']
1709|['American']
1710|['American']
1711|['American']
1712|['American']
1713|['American']
1714|['American']
1715|['American']
1716|['American']
1717|['American']
1718|['American']
1719|['American']
1720|['American']
1721|['American']
1722|['American']
1723|['American']
1724|['American']
1725|['American']
1726|['American']
1727|['American']
1728|['American']
1729|['American']
1730|['American']
1731|['American']
1732|['American']
1733|['American']
1734|['American']
1735|['American']
1736|['American']
1737|['American']
1738|['American']
1739|['American']
1740|['American']
1741|['American']
1742|['American']
1743|['American']
1744|['American']
1745|['American']
1746|['American']
1747|['American']
1748|['American']
1749|['American']
1750|['American']
1751|['American']
1752|['American']
1753|['American']
1754|['American']
1755|['American']
1756|['American']
1757|['American']
1758|['American']
1759|['American']
1760|['American']
1761|['American']
1762|['American']
1763|['American']
1764|['American']
1765|['American']
1766|['American']
1767|['American']
1768|['American']
1769|['American']
1770|['American']
1771|['American']
1772|['American']
1773|['American']
1774|['American']
1775|['American']
1776|['American']
1777|['American']
1778|['American']
1779|['American']
1780|['American']
1781|['American']
1782|['American']
1783|['American']
1784|['American']
1785|['American']
1786|['American']
1787|['American']
1788|['American']
1789|['American']
1790|['American']
1791|['American']
1792|['American']
1793|['American']
1794|['American']
1795|['American']
1796|['American']
1797|['American']
1798|['American']
1799|['American']
1800|['American']
1801|['American']
1802|['American']
1803|['American']
1804|['American']
1805|['American']
1806|['American']
1807|['American']
1808|['American']
1809|['American']
1810|['American']
1811|['American']
1812|['American']
1813|['American']
1814|['American']
1815|['American']
1816|['American']
1817|['American']
1818|['American']
1819|['American']
1820|['American']
1821|['American']
1822|['American']
1823|['American']
1824|['American']
1825|['American']
1826|['American']
1827|['American']
1828|['American']
1829|['American']
1830|['American']
1831|['American']
1832|['American']
1833|['American']
1834|['American']
1835|['American']
1836|['American']
1837|['American']
1838|['American']
1839|['American']
1840|['American']
1841|['American']
1842|['American']
1843|['American']
1844|['American']
1845|['American']
1846|['American']
1847|['American']
1848|['American']
1849|['American']
1850|['American']
1851|['American']
1852|['American']
1853|['American']
1854|['American']
1855|['American']
1856|['American']
1857|['American']
1858|['American']
1859|['American']
1860|['American']
1861|['American']
1862|['American']
1863|['American']
1864|['American']
1865|['American']
1866|['American']
1867|['American']
1868|['American']
1869|['American']
1870|['American']
1871|['American']
1872|['American']
1873|['American']
1874|['American']
1875|['American']
1876|['American']
1877|['American']
1878|['American']
1879|['American']
1880|['American']
1881|['American']
1882|['American']
1883|['American']
1884|['American']
1885|['American']
1886|['American']
1887|['American']
1888|['American']
1889|['American']
1890|['American']
1891|['American']
1892|['American']
1893|['American']
1894|['American']
1895|['American']
1896|['American']
1897|['American']
1898|['American']
1899|['American']
1900|['American']
1901|['American']
1902|['American']
1903|['American']
1904|['American']
1905|['American']
1906|['American']
1907|['American']
1908|['American']
1909|['American']
1910|['American']
1911|['American']
1912|['American']
1913|['American']
1914|['American']
1915|['American']
1916|['American']
1917|['American']
1918|['American']
1919|['American']
1920|['American']
1921|['American']
1922|['American']
1923|['American']
1924|['American']
1925|['American']
1926|['American']
1927|['American']
1928|['American']
1929|['American']
1930|['American']
1931|['American']
1932|['American']
1933|['American']
1934|['American']
1935|['American']
1936|['American']
1937|['American']
1938|['American']
1939|['American']
1940|['American']
1941|['American']
1942|['American']
1943|['American']
1944|['American']
1945|['American']
1946|['American']
1947|['American']
1948|['American']
1949|['American']
1950|['American']
1951|['American']
1952|['American']
1953|['American']
1954|['American']
1955|['American']
1956|['American']
1957|['American']
1958|['American']
1959|['American']
1960|['American']
1961|['American']
1962|['American']
1963|['American']
1964|['American']
1965|['American']
1966|['American']
1967|['American']
1968|['American']
1969|['American']
1970|['American']
1971|['American']
1972|['American']
1973|['American']
1974|['American']
1975|['American']
1976|['American']
1977|['American']
1978|['American']
1979|['American']
1980|['American']
1981|['American']
1982|['American']
1983|['American']
1984|['American']
1985|['American']
1986|['American']
1987|['American']
1988|['American']
1989|['American']
1990|['American']
1991|['American']
1992|['American']
1993|['American']
1994|['American']
1995|['American']
1996|['American']
1997|['American']
1998|['American']
1999|['American']
2000|['American']
2001|['American']
2002|['American']
2003|['American']
2004|['American']
2005|['American']
2006|['American']
2007|['American']
2008|['American']
2009|['American']
2010|['American']
2011|['American']
2012|['American']
2013|['American']
2014|['American']
2015|['American']
2016|['American']
2017|['American']
2018|['American']
2019|['American']
2020|['American']
2021|['American']
2022|['American']
2023|['American']
2024|['American']
2025|['American']
2026|['American']
2027|['American']
2028|['American']
2029|['American']
2030|['American']
2031|['American']
2032|['American']
2033|['American']
2034|['American']
2035|['American']
2036|['American']
2037|['American']
2038|['American']
2039|['American']
2040|['American']
2041|['American']
2042|['American']
2043|['American']
2044|['American']
2045|['American']
2046|['American']
2047|['American']
2048|['American']
2049|['American']
2050|['American']
2051|['American']
2052|['American']
2053|['American']
2054|['American']
2055|['American']
2056|['American']
2057|['American']
2058|['American']
2059|['American']
2060|['American']
2061|['American']
2062|['American']
2063|['American']
2064|['American']
2065|['American']
2066|['American']
2067|['American']
2068|['American']
2069|['American']
2070|['American']
2071|['American']
2072|['American']
2073|['American']
2074|['American']
2075|['American']
2076|['American']
2077|['American']
2078|['American']
2079|['American']
2080|['American']
2081|['American']
2082|['American']
2083|['American']
2084|['American']
2085|['American']
2086|['American']
2087|['American']
2088|['American']
2089|['American']
2090|['American']
2091|['American']
2092|['American']
2093|['American']
2094|['American']
2095|['American']
2096|['American']
2097|['American']
2098|['American']
2099|['American']
2100|['American']
2101|['American']
2102|['American']
2103|['American']
2104|['American']
2105|['American']
2106|['American']
2107|['American']
2108|['American']
2109|['American']
2110|['American']
2111|['American']
2112|['American']
2113|['American']
2114|['American']
2115|['American']
2116|['American']
2117|['American']
2118|['American']
2119|['American']
2120|['American']
2121|['American']
2122|['American']
2123|['American']
2124|['American']
2125|['American']
2126|['American']
2127|['American']
2128|['American']
2129|['American']
2130|['American']
2131|['American']
2132|['American']
2133|['American']
2134|['American']
2135|['American']
2136|['American']
2137|['American']
