id|genre|release year|director|cast
238|['comedy']|1918|['Charles Chaplin']|['Charlie Chaplin', 'Sydney Chaplin']
239|['comedy', 'drama']|1918|['Henry King']|['Mary Miles Minter', 'Allan Forrest']
240|['western']|1918|['Cecil B. DeMille']|['Elliott Dexter', 'Ann Little']
241|['drama']|1918|['Marshall Neilan']|['Mary Pickford']
242|['adventure']|1918|['Scott Sidney']|['Elmo Lincoln', 'Enid Markey']
243|['drama']|1918|['Cecil B. DeMille']|['Bryant Washburn', 'Florence Vidor']
244|['adventure']|1918|['Sidney Franklin Chester Franklin']|['Francis Carpenter', 'Virginia Lee Corbin']
245|['drama']|1918|['J. Gordon Edwards']|['Theda Bara', 'G. Raymond Nye']
246|['unknown']|1918|['Emile Chautard']|['Elsie Ferguson', "Eugene O'Brien"]
247|['romantic', 'comedy']|1918|['Clarence G. Badger']|['Mabel Normand', 'Rod La Rocque']
248|['drama']|1918|['Cecil B. DeMille']|['Kathlyn Williams', 'Elliott Dexter']
249|['comedy']|1918|['Fred Niblo']|['Enid Bennett', 'Albert Ray']
250|['drama']|1918|['Tod Browning', 'Harry A. Pollard']|['Ella Hall', 'A. Edward Sutherland']
251|['drama']|1918|['Cecil B. DeMille']|['Raymond Hatton', 'Kathlyn Williams']
252|['comedy', 'drama']|1919|['William Desmond Taylor']|['Mary Miles Minter', 'Paul Kelly']
253|['comedy']|1919|['Hal Roach']|['Harold Lloyd', 'Bebe Daniels']
254|['short']|1919|['Fatty Arbuckle']|['Fatty Arbuckle', 'Buster Keaton']
255|['drama']|1919|['King Vidor']|['David Butler', 'ZaSu Pitts']
256|['drama', 'romance']|1919|['Erich von Stroheim']|['Erich von Stroheim', 'Francelia Billington']
257|['drama']|1919|['Harley Knoles', 'Lewis J. Selznick.']|['Robert Frazer']
258|['drama']|1919|['D. W. Griffith']|['Lillian Gish', 'Richard Barthelmess']
259|['comedy']|1919|['Hal Roach']|['Harold Lloyd', 'Bebe Daniels']
260|['drama']|1919|['Marshall Neilan']|['Mary Pickford']
261|['drama']|1919|['Fred Niblo']|['Lloyd Hughes', 'Barbara Castleton']
262|['short']|1919|['Charlie Chaplin']|['Charlie Chaplin', 'Edna Purviance']
263|['comedy', 'drama']|1919|['Robert Z. Leonard']|['Mae Murray', 'Rudolph Valentino']
264|['comedy']|1919|['Cecil B. DeMille']|['Gloria Swanson', 'Elliott Dexter']
265|['drama']|1919|['Ivan Abramson']|['Charles Richman', 'Leah Baird']
266|['drama']|1919|['Tod Browning']|['Priscilla Dean', 'Thurston Hall']
267|['drama']|1919|['Irvin Willat']|['Henry B. Walthall', 'Lon Chaney']
268|['drama']|1919|['Cecil B. DeMille']|['Elliott Dexter', 'Gloria Swanson']
269|['comedy']|1919|['Alfred J. Goulding', 'Hal Roach']|['Harold Lloyd', 'Mildred Davis']
270|['drama']|1919|['D.W. Griffith']|['Adolf Lestina', 'Carol Dempster']
271|['drama']|1919|['Irvin Willat']|['Harry Houdini', 'Thomas Jefferson']
272|['western']|1919|['John Ford']|['Harry Carey', 'J. Barney Sherry']
273|['comedy']|1919|['Fred Niblo']|['Enid Bennett', 'Hallam Cooley']
274|['drama']|1919|['Fred Niblo']|['Enid Bennett', 'Jack Nelson']
275|['comedy']|1919|['James Cruze']|['Wallace Reid', 'Lila Lee']
276|['drama']|1919|['Joseph De Grasse Sidney Franklin']|['Mary Pickford', 'Harold Goodwin']
277|['comedy']|1919|['Joseph Henabery']|['Douglas Fairbanks', 'Marjorie Daw']
278|['unknown']|1919|['Oscar Micheaux']|['Evelyn Preer']
279|['drama']|1919|['Fred Niblo']|['Enid Bennett', 'Niles Welch']
280|['crime', 'drama']|1919|['John Francis Dillon']|['Olive Thomas', 'Ann Kroman']
281|['adventure']|1919|['Cecil B. DeMille']|['Gloria Swanson', 'Thomas Meighan']
282|['drama']|1919|['Thomas N. Heffron']|['Dustin Farnum', 'Harry von Meter']
283|['drama']|1919|['George Loane Tucker']|['Lon Chaney', 'Betty Compson']
284|['drama']|1919|['Robert Z. Leonard']|['Lucy Cotton', 'Wyndham Standing']
285|['mystery']|1919|['Maurice Tourneur']|['Wyndham Standing', 'Sylvia Breamer']
286|['drama']|1919|['B. Reeves Eason']|['Mitchell Lewis', 'Jimsy Maye']
287|['comedy']|1919|['Alfred J. Goulding']|['Harold Lloyd', 'Bebe Daniels']
288|['comedy']|1919|['Sidney Franklin']|['Norma Talmadge', 'Thomas Meighan']
289|['drama']|1919|['Oscar Apfel']|['Aurora Mardiganian', 'Irving Cummings']
290|['romance']|1919|['James Cruze']|['Wallace Reid', 'Ann Little']
291|['crime', 'drama']|1919|['James Young']|['Earle Williams', 'Harry von Meter']
292|['drama']|1919|['D.W. Griffith']|['Lillian Gish', 'Robert Harron']
293|['drama']|1919|['Arthur Rosson']|['Louise Glaum', 'Matt Moore']
294|['western']|1919|['D.W. Griffith']|['Richard Barthelmess', 'Eugenie Besserer']
295|['drama']|1919|['George Fitzmaurice']|['Elsie Ferguson', 'Zeffie Tilbury']
296|['adventure']|1919|['Allan Dwan']|['Wallace Beery', 'Ogden Crane']
297|['comedy']|1919|['Charles Chaplin']|['Charlie Chaplin', 'Edna Purviance']
298|['drama']|1919|['John S. Robertson']|['John Barrymore', 'Constance Binney']
299|['drama']|1919|['D.W. Griffith']|['Lillian Gish', 'Bobby Harron']
300|['drama']|1919|['King Vidor']|['George Nichols', 'Lloyd Hughes']
301|['drama']|1919|['Tod Browning']|['Mary MacLaren', 'Thurston Hall']
302|['drama']|1919|['Fred Niblo']|['Enid Bennett', 'Niles Welch']
303|['drama']|1919|['Fred Niblo']|['Enid Bennett', 'Milton Sills']
304|['comedy']|1919|['Victor Fleming', 'Theodore Reed']|['Douglas Fairbanks', 'Kathleen Clifford']
305|['drama']|1919|['Maurice Tourneur']|['Holmes Herbert', 'Ben Alexander']
306|['drama']|1919|['Frank Lloyd']|['Geraldine Farrar', 'Lou Tellegen']
307|['comedy']|1919|['F. Richard Jones']|['Bothwell Browne', 'Ford Sterling']
308|['comedy']|1919|['James Cruze']|['Wallace Reid', 'Wanda Hawley']
309|['mystery']|1920|['Charles Christie', 'Scott Sidney']|['Wedgwood Nowell', 'Ralph Lewis', 'Wallace Beery', 'Laura La Plante']
310|['comedy', 'short']|1920|['Fred C. Newmeyer']|['Harold Lloyd', 'Mildred Davis']
311|['drama']|1920|['Robert Z. Leonard']|['Marion Davies', 'Conway Tearle']
312|['drama']|1920|['Edward Sloman']|['Walter McGrail', 'Leatrice Joy']
313|['melodrama']|1920|['Ivan Abramson']|['Gladys Leslie', 'Creighton Hale']
314|['comedy']|1920|['Edward F. Cline', 'Buster Keaton']|['Buster Keaton', 'Joe Roberts']
